ligand	avg_energy	max_energy	min_energy	avg_rsmd
C[C@@H]1O[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)OC[C@@]2(O)[C@@H](O)[C@@H](O)O[C@H]2[C@H]1OCCO	Molecule_452	-5.056930	-4.374100	-6.123200	5.504995
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2C=CCC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_632	-6.745216	-6.100900	-8.019100	4.303180
CCNC(=O)[C@H](O[P@](=O)(O)OP(=O)(O)O)c1cc(O)cn(O)c1=O	Molecule_240	-6.432122	-5.915900	-7.191100	3.552218
C=CCCC(=CC)C=CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O)C	Molecule_850	-7.035826	-4.059100	-7.944300	5.231386
CC1=C(C=CC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2)CCC1	Molecule_926	-7.240622	-6.493800	-8.837200	6.435428
CC(=O)N[C@H]1C=CC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_937	-7.006402	-6.230000	-8.434300	7.238861
NC(=O)NC(=O)[C@H](O)COP(=O)(O)O	Molecule_40	-5.210746	-4.743100	-6.193300	3.785839
NC(=O)CCC=CC1=CC(=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@@H](O)CCC(=O)O)CC=C1	Molecule_847	-6.598584	-5.898100	-7.543100	5.431157
CC(=O)N[C@@H]1CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C2[C@H](CCCO)C1	Molecule_1261	-6.735276	-6.278900	-7.728600	8.141950
O=C1NC=CC1=C[C@H]1C(=O)Nc2cc(C(=O)O)c(O)cc12	Molecule_148	-6.596067	-5.103800	-7.736500	5.965226
CC(=O)O[C@@H]1[C@@H](C[C@@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)OC(=C(C(=O)O)[C@@H]1O)[C@H](O)OP(=O)(O)O	Molecule_545	-6.756706	-6.313300	-7.403800	4.161915
O=P(O)(O)OC[C@@H](COCCO)OCCO	Molecule_49	-5.034960	-4.533800	-5.685600	3.174551
CCCC1=C2CC3=CC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)CC=C3CC2=C2C=CCC[C@@H]2C1	Molecule_1555	-6.812980	0.200900	-8.314500	10.249732
CC(=O)NCc1ccc2c3c1O[P@@](=O)(O)O[C@H]3OC(=CCC(=O)O)N2C(=O)[C@@H]1CC=CC1	Molecule_581	-7.180612	-6.346700	-8.543800	5.103993
COC(=N)C1=CCC[C@@H](CCOC[C@@H](O[P@](=O)(O)OP(=O)(O)O)[C@H](CC(=O)OC)OP(=O)(O)O)C1	Molecule_652	-7.129254	-6.785600	-8.189400	5.227666
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(C3=CC(=NO)[C@@H]4CCC[C@H]4C3)CCC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1178	-7.165457	-6.487100	-8.837800	7.316567
O=C(O)ON=C1O[C@@H](OP(=O)(O)O)[C@H](O[P@](=O)(O)OP(=O)(O)O)[C@@H](OCCO)[C@@H]1O	Molecule_500	-6.654594	-6.102000	-7.582000	4.060989
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC#CC1=C2CCNC(=O)[C@@H]2CC[C@@H]1C	Molecule_1369	-7.702368	-7.126200	-8.501100	4.592659
CCNC(=O)[C@H](O[P@](=O)(O)OP(=O)(O)O)c1cccc(OCO)c1	Molecule_216	-6.287156	-5.807900	-7.238700	3.684532
CON=C1C=C(C2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CCC2)CC2=CC(=C(O)C[C@@H]12)C	Molecule_1581	-7.138354	-6.536000	-8.479400	6.451525
O=C(O)O[C@H]1[C@H](C[C@@H]2OC(=O)OC[C@H](O)[C@@H]2O)OC(=C(C(=O)O)[C@H]1O)[C@H](O)OP(=O)(O)O	Molecule_583	-5.503948	-4.848600	-6.204900	3.933737
CC1=CC(=C2CCCC2)CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C12	Molecule_1079	-7.511266	-6.911100	-8.438000	7.262254
C=C1C[C@@H]2N=CCC2=C2CC3=CCC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)C=C3C[C@@H]12	Molecule_1306	-7.359888	-6.742700	-9.020900	7.547038
COC(=O)C[C@H](OP(=O)(O)O)[C@H](COCC(=O)N)O[P@](=O)(O)OP(=O)(O)O	Molecule_399	-6.181192	-5.782800	-7.043900	3.453712
O=C1CCO[P@@](=O)(O)O[C@@H]2C[C@H](O)[C@H]1O[C@@H](C(=O)O)[C@@H]2OP(=O)(O)O	Molecule_297	-3.843942	-2.743100	-4.952700	5.021652
C[C@H](C(=O)O)[C@H](CCCNC(=O)O)O[P@](=O)(O)OP(=O)(O)O	Molecule_169	-6.337694	-5.795200	-7.036300	3.199885
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=C4CC=C(F)C=C4CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1028	-7.165046	-6.624600	-8.637000	9.541968
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)C=CCC(=O)O	Molecule_724	-6.619376	-6.110500	-7.629400	4.969257
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3CC4=C(C5=CNC(=O)C5)CC=C4CC3=CC2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1343	-7.222602	-6.583300	-8.831000	9.143053
CCC(=CC(=O)NC(=O)[C@H](O)[C@@H](CNC(=O)O)COP(=O)(O)O)C1=CCCC(=C1)CC1=CC=CCC1	Molecule_670	-7.783114	-7.367300	-8.333500	5.369277
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=CC(=C4CC=CC4)CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1054	-6.820158	-6.153200	-7.919700	8.651475
C=C[C@@H]1CNCCC1=C(C#CCC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)C)[C@@H](C)CC	Molecule_1518	-6.463654	-6.033400	-7.219400	6.093920
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(C=CCc3ccccc3)CCC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1064	-6.997502	-6.419500	-8.189700	5.866079
COC(=O)N[C@H]1CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C2[C@H](CCCO)C1	Molecule_1345	-6.560934	-6.007400	-7.765300	9.462079
CC=CC1=CC2=C(C1)CC(=CC2=NOC)C1=CC(=C2C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)CCC1	Molecule_1563	-7.266398	-6.691400	-8.983200	7.344757
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(C=CCC3=CC4=CC=C[C@H]4C(=O)C3)CCC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1346	-7.510153	-6.985200	-8.691500	5.478443
C=C1CC=CC(=N)C1=C1C=C(C)C2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_1391	-7.663934	-7.084600	-9.772200	8.349280
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=CC(=C[C@H]3CC2)CCO)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_895	-6.490148	-5.974700	-7.676200	6.461894
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=C(O)CC4=C2[C@H]3CCC(=C4)O)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1357	-6.016390	-5.343300	-7.792600	9.938788
O=C(O)CC[C@H](O)C(=O)N1C(=CC=c2cc(F)c3=CC=CCc3c2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_872	-7.702622	-6.996200	-8.995200	6.019618
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=C4CC=CC4=C[C@H]4CC[C@@H]3[C@H]24)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1384	-7.123350	-6.608800	-9.174300	7.838543
CC=CCC=CC(=C(F)F)c1ccc2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=c2c1	Molecule_1481	-6.942340	-1.298100	-8.320800	10.493202
COC(=O)NC1=CCC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2C1	Molecule_1058	-6.759527	-6.185100	-7.848900	6.703876
O=P(O)(O)O[P@](=O)(O)O[C@@H]1[C@@H](CO)O[C@@H]2C[C@H](O)[C@H](O)O[C@H]12	Molecule_159	-6.203351	2.961500	-8.071800	4.785484
N=C1CCC2=CC(=CC=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_867	-7.615312	-6.944300	-9.328100	5.049828
O=C(O)CO	Molecule_6	-3.058014	-2.556300	-3.641200	8.384538
CC1=CC(=c2ccc3=CC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@@H](O)CCC(=O)O)CCc3n2)C(=CC1)C	Molecule_1291	-7.740708	-7.011000	-9.225300	7.694878
CC1(C)C[C@H](CC(=O)O)C(=O)N2Cc3c(cc(C(=O)O)cc3OP(=O)(O)O)C=C12	Molecule_459	-6.805506	-6.224900	-7.921300	5.467243
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C[C@@H]4C(=S)C=c5[nH]ccc5=C4CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1296	-7.210212	-6.444200	-8.610900	8.598547
CCC(=O)C1=CC(=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@H](O)CCC(=O)O)CC(=C1)F	Molecule_768	-6.837186	-6.174600	-8.565500	5.679970
CN1CCN(C(=O)CCNC=O)CC1	Molecule_41	-4.804868	-4.413400	-5.476300	4.697049
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=CC=C[C@H]3CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_717	-6.859314	-6.295000	-7.744200	5.178967
CNC(=O)NCc1cc2c(cc1O[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)OC=C(C)O2	Molecule_508	-7.422370	-6.868600	-8.307600	5.832950
CCc1ccc2c(c1C#CCC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)C)CNC2	Molecule_1293	-7.901004	-7.316600	-8.766400	4.548088
CC(=O)NCc1ccc2c3c1O[P@@](=O)(O)O[C@@H]3OC(=CCC(=O)O)N2C(=O)C1CCCC1	Molecule_576	-7.380522	-6.620400	-8.565500	5.016487
CCCC(=O)N=C1C=CC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2C1	Molecule_1103	-6.581600	-5.910600	-8.292600	7.528461
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(c3cccc(CO)c3)C=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_924	-6.723822	-5.942800	-7.651900	6.417844
C[C@@]1(F)C=C2CC3=C(F)CC(=C4C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@@H](O)CCC(=O)O)C=C3C=C2CC1	Molecule_1199	-7.244502	-6.729500	-8.648000	8.803342
C=C(C)N[C@H]1CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C2[C@H]2CCC[C@H]12	Molecule_1174	-7.410976	-2.226700	-8.622800	6.912196
COC(=O)C[C@@H](OP(=O)(O)O)[C@H](COCC(=O)O)O[P@@](=O)(O)OP(=O)(O)O	Molecule_373	-6.765262	-6.375800	-7.436700	3.411083
C=C1C[C@]2(CC(=S)C(=CC3=CC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@@H](O)CCC(=O)O)CC=C3)C2)NN1	Molecule_1265	-7.705635	-7.214800	-8.803000	4.989578
O=C(O)CC[C@H](O)C(=O)N1C(=C2CC=C3CC4=C(O)CC5=C4[C@@H]4C3=C2C[C@H]4CC(=C5)O)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1496	-6.344988	-5.752500	-7.795600	8.126542
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2C=CC(=O)CC2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_674	-6.734964	-6.163500	-7.926100	4.998977
CN[C@@H]1C[C@@H](C(=O)O)c2cc(C(=O)O)c(OP(=O)(O)O)cc2C1=O	Molecule_227	-6.822575	-6.064400	-7.963700	4.677635
O=C(O)[C@@H]1CC(=O)N2C[C@@H]3OC(=O)[C@H](O)[C@H]3[C@H](O[P@@](=O)(O)OP(=O)(O)O)[C@@H]2O1	Molecule_438	-7.198224	-6.517500	-8.466400	4.270877
COC(=O)O／C／1=C／[C@@H]2[C@H](CO)O[C@@H](O[P@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)O[C@H]1CO)[C@@H]2O	Molecule_546	-4.954362	-4.192400	-6.386400	5.000600
CON=C1C=C(C2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2)CC2=C1CC(=C(C)C2)O	Molecule_1521	-7.648818	-7.002700	-8.652100	5.140160
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=C4CC=CCC4=C[C@@H]3CC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_973	-7.115871	-6.410900	-8.330800	8.624714
CC(=O)NC1=N[C@H]([C@H](CO)O[P@@](=O)(O)OP(=O)(O)O)O[C@@H](C(=O)O)C1	Molecule_289	-7.056944	-6.433000	-8.079400	3.858262
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=C4CCC[C@@H]4C[C@H]4C=S[C@H]3[C@H]24)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1370	-6.931680	-6.308700	-8.318800	8.307866
C=c1ccccc1=C1C=CC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_1232	-6.958374	-6.214400	-8.961600	7.345775
C[C@H]1C=C(C(=O)N)C=CC1=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O	Molecule_818	-7.537000	-7.041600	-8.803900	4.756269
CC1=C2CC3=CCC(=C4C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N4C(=O)[C@@H](O)CCC(=O)O)C=C3CC2=CCC1	Molecule_988	-7.304442	-6.615900	-8.795600	8.135340
COc1ccc2c(n1)CC1=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C1C2	Molecule_1137	-6.915226	-6.335700	-8.000000	7.725439
CC1=CC(=CC2=NN=CC2)CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C12	Molecule_1243	-6.808968	-6.086600	-8.284900	8.218689
CCC=C1NC(=O)CC1=c1ccc2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CCc2n1	Molecule_1413	-7.142392	-6.268300	-8.253000	8.354565
CCOc1nc2cc3[nH]c(=O)n(C)c(=O)c3c(O)c2cc1C(=O)O	Molecule_261	-6.664385	-6.006400	-8.071400	5.151134
C[C@H]1CC(=O)CCC1=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O	Molecule_715	-6.620236	-6.178600	-7.474100	4.604288
CCCO[C@H]1CO[C@H](CO)[C@H]1O[P@](=O)(O)OP(=O)(O)O	Molecule_119	-5.854434	-5.407800	-6.729800	4.200195
O=C(O)C=CCC1=CC(=CC=C2C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)C=CC1	Molecule_910	-7.092626	-6.549200	-8.799700	5.906367
O=C1C[C@H](OP(=O)(O)O)[C@H](O)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O1	Molecule_214	-6.658366	-6.237000	-7.811000	3.996515
CCOC1=C[C@H](C)C(=CC=C2C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@@H](O)CCC(=O)O)C=C1	Molecule_794	-7.004912	-6.497300	-7.901500	4.443580
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=C[C@H](CC(=O)O)C[C@@H]3CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_901	-6.409458	-5.647000	-7.666700	6.488067
CC1=C2C(=C(C)N[C@]32C=CC(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)[C@H](C)C3)NC1	Molecule_1268	-7.601862	-6.953500	-8.820000	7.197595
CCNC(=O)[C@H](O[P@](=O)(O)OP(=O)(O)O)c1cccc(OC)c1F	Molecule_234	-6.592085	-6.074200	-7.367900	4.219747
C=C1CCC2=CCc3cc(=CC=C4C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N4C(=O)[C@H](O)CCC(=O)O)cc(F)c3=C2OC1	Molecule_1372	-6.240020	-5.529500	-7.304900	6.832692
CC1=C(O)C(C)(C)C[C@H]1N(C(=O)CCC(=O)O)[C@@H](O)C(=O)C(=O)O	Molecule_239	-5.761388	-5.263200	-6.574100	3.188782
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(c3cccc(C(=O)O)c3)CCC2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_975	-6.784426	-6.148000	-8.126000	7.035712
C[C@@H]1CCC=C(c2ccc3=CC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)CC=c3c2)C1	Molecule_1196	-7.059202	1.978000	-8.949000	8.862156
C=C(C)N[C@@H]1CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C2[C@@H](CCCC=CC)C1	Molecule_1477	-6.204030	-5.782000	-7.265000	8.263097
C=CC=C1NC(=O)CC1=c1ccc2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCc2n1	Molecule_1359	-7.103744	-6.496900	-8.466200	6.851663
CC[C@H]1／C=C(／OCCC(=O)O)＼[C@H](CO)O[P@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OC1=O	Molecule_469	-5.235892	-4.459900	-6.049100	5.390869
CCCC=C1CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C2[C@H]2C[C@@H](O)C[C@@H]12	Molecule_1323	-6.905230	-5.374100	-8.104800	8.109522
O=C(O)[C@@H]1CC(=O)N2C[C@@H](O)[C@@H](O)[C@H](O[P@](=O)(O)OP(=O)(O)O)[C@H]2O1	Molecule_290	-6.815431	-6.198100	-7.990100	4.116982
O=P(O)(O)O[P@](=O)(O)OC[C@H](O)[C@@H](O)[C@H](OCO)OCCO	Molecule_156	-6.018108	-5.825000	-6.389500	4.402214
Cc1ccccc1CC=CC1=CC(=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)CC=C1	Molecule_1133	-7.108014	-6.516700	-8.449400	5.872957
C=C(N[C@@H]1CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C2[C@@H]2CC(=C[C@@H]12)O)OC	Molecule_1380	-6.642088	-6.150400	-8.132100	9.627426
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC#CC1=C(C)C=C(CO)C[C@H]1C	Molecule_1207	-7.487378	-6.780400	-8.675300	3.837664
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=C4CC=CC=C4C[C@H]3CC2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_917	-7.259230	-6.719200	-8.322100	8.314717
C[C@H](O)C(=O)OC[C@@H](CO[C@H]1C[C@H](O)[C@H](O)[C@@H](O[P@@](=O)(O)OP(=O)(O)O)[C@@H]1O)OC(=O)N	Molecule_584	-6.318452	-5.995000	-6.974600	4.805751
CC(F)(F)C(=O)Nc1cccc(CNC(=O)O)n1	Molecule_76	-5.978050	-5.473800	-6.889200	5.474138
C[C@@H]1C=CC=C1	Molecule_13	-2.980638	-2.606600	-3.554400	18.184258
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)C=O	Molecule_617	-6.569002	-5.914000	-7.481800	4.616669
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(C=CCC3=CC4=C(CC=C4)CC3)CCC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1334	-7.687418	-6.980100	-8.658000	5.784823
CC1=C2CC3=CCC(=C4C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N4C(=O)[C@@H](O)CCC(=O)O)C=C3[C@H]3CC[C@@H](C=C1)[C@@H]23	Molecule_1231	-7.202496	-6.427400	-8.731100	6.370314
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3CC4=C(C5=CCCC5)CN=C4CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1290	-6.916628	-4.213900	-8.349700	8.174705
O=C(O)NC[C@H]1[C@@H](OP(=O)(O)O)CO[C@@H](CO)[C@@H]1O	Molecule_84	-6.048772	-5.576700	-6.927900	4.296315
CC1=CNC(=CC1=c1ccc2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCc2n1)F	Molecule_1264	-7.508444	-6.697600	-8.733000	9.264045
O=C(O)[C@H](O)C1=C=C(O)[C@H](C(=O)O)C(=C1O)OP(=O)(O)O	Molecule_151	-6.406490	-5.846500	-7.149500	3.984175
O=C(O)Nc1cc(NC(=O)CC2CCCCC2)cc(OC(=O)C(=O)O)c1O	Molecule_368	-7.310748	-6.851100	-8.370700	5.078448
O=C(O)CO／C／1=C／CO[P@@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)O[C@H]1CO	Molecule_243	-5.101822	-4.268200	-6.174400	4.750724
O=C(O)NC(=O)C[C@H](OP(=O)(O)O)[C@@H](COCCCCc1ccc(F)cc1)OP(=O)(O)O	Molecule_593	-7.041216	-6.754400	-7.625000	4.114235
C=C1C[C@]2(CCC(=O)N2)CC1=CC1=CC(=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@@H](O)CCC(=O)O)CC=C1	Molecule_1292	-7.953442	-7.296100	-9.065900	7.633016
CC1=CC(=C2CC=CC2=N)CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C12	Molecule_1197	-7.172414	-6.627500	-8.673700	8.536157
CC(C)C=c1ccc(=CC=C2C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)cc1	Molecule_782	-7.188988	-6.600700	-8.339000	4.830424
O=C(O)COc1cc(O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](O)[C@H]2O[P@](=O)(O)OP(=O)(O)O)nc(CC(=O)O)n1	Molecule_604	-7.360486	-6.816900	-8.706000	4.392115
CON=C1C=C(C2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2)C=C2NC(=O)C[C@@H]12	Molecule_1434	-7.511650	-6.941400	-8.670300	5.502722
N[C@H](C(=O)O)C(=O)N[C@H](C(=O)OP(=O)(O)O)[C@@H](O)CCC(=O)O	Molecule_195	-6.453916	-5.926500	-7.207600	3.531302
