ligand	avg_energy	max_energy	min_energy	avg_rsmd
O=C(O)NC[C@@H](COP(=O)(O)O)[C@@H](O)C(=O)NC(=O)C1=C(C2=CCCC(=C2)Cc2ccc(CC3=CC=CC3)cc2O)CCC1	Molecule_1236	-8.442706	-7.980500	-9.098100	7.116819
CC(=O)N[C@@H]1CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C2[C@@H](C[C@@H](C)CO)C1	Molecule_1356	-6.830780	-6.264600	-7.903600	8.208346
NC(=O)NC1=CCC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2C1	Molecule_950	-7.255802	-6.667100	-9.018500	7.050554
O=C(O)[C@H]1CC(=O)N2C[C@@H]3O[C@@H](O)[C@H](O)[C@H]3[C@@H](O[P@@](=O)(O)OP(=O)(O)O)[C@@H]2O1	Molecule_433	-7.012806	-6.325400	-7.977700	4.595749
O=C(O)CC[C@H](O)[C@H](CO[P@](=O)(O)OP(=O)(O)O)OCO	Molecule_142	-6.164890	-5.638700	-6.809900	3.052977
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2C=C[C@H](C=C(F)F)CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_802	-7.431206	-6.854400	-8.466100	5.786939
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=CC(=C4C=CN=C4)C[C@H]3CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_981	-7.482518	-6.816400	-9.048200	7.658663
C=C(C)C=C1CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C2[C@@H](C)C1	Molecule_1032	-6.848128	-6.061700	-8.451000	9.079468
NC(=O)NC(=O)C[C@@H](OP(=O)(O)O)[C@@H](COCCCO)O[P@](=O)(O)OP(=O)(O)O	Molecule_479	-6.096700	-5.765200	-6.487600	3.368481
CCCC=C1CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C2[C@@H]2CC(=C(O)O)C[C@H]12	Molecule_1456	-6.393392	-5.769800	-7.797600	7.957387
CN(C=CC=CCO)CCC[C@H](NC(=O)C(=O)O)C(=O)OP(=O)(O)O	Molecule_271	-6.498920	-6.054000	-7.467700	3.542450
CC=CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)C	Molecule_628	-6.727192	-6.189700	-7.780500	4.337849
COC(=O)C[C@@H](OP(=O)(O)O)[C@H](CO[C@@H](O)[C@@H](O)CO)O[P@@](=O)(O)OP(=O)(O)O	Molecule_485	-6.629360	-6.227100	-7.223700	3.503695
O=C(O)CC=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@@H](O)CCC(=O)O	Molecule_625	-6.696608	-6.103700	-7.630300	4.844856
O=C(O)CC[C@H](O)C(=O)N1C(=CC=CCC#CC2=CCCC3=C2C=CCC3)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1111	-7.354654	-6.790200	-8.417000	5.023953
CCCN[C@@H]1／C=C(／OCC(=O)O)＼[C@H](CO)O[P@@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)OC1	Molecule_491	-4.878484	-3.954500	-5.964300	5.457985
CCC1=CCC(=CC1)C1=CC(=C2C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)CC=C1	Molecule_899	-6.939473	-6.289300	-8.271400	6.799201
NC(=O)NCc1cc2c(OP(=O)(O)O)ccc(C(=O)O)c2[nH]c1=O	Molecule_229	-6.831422	-6.270900	-8.513700	4.755749
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C[C@@H]3C=C(C(=O)O)C=CC3=C2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_834	-6.799332	-6.206100	-7.994400	5.477608
C=C(Cc1cc(NC(=O)O)cc(O[C@H]2C[C@@H](O)[C@H](O)[C@@H](O[P@](=O)(O)OP(=O)(O)O)[C@H]2O)c1F)C(=O)O	Molecule_681	-7.619598	-7.141700	-8.407900	5.370557
COC(=O)COP(=O)(O)O	Molecule_26	-4.579298	-4.037600	-5.509100	4.052095
O=C(O)CCO／C／1=C／[C@H](C(=O)O)CO[P@@](=O)(O)O[P@@](=O)(O)O[P@](=O)(O)O[C@H]1CO	Molecule_465	-5.705778	-5.051500	-6.597000	4.131829
CCN1C=C(CC=CC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2)[C@@H](C)N1	Molecule_1171	-7.274560	-6.661500	-8.660000	6.157202
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=CC(=O)CC[C@@H]4C=CC3=C24)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1294	-6.526602	-5.795900	-8.714100	6.729555
C[C@@H]1O[P@@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OC[C@@]2(O)[C@H](O)[C@H](O)O[C@H]2[C@H]1OC(=O)O	Molecule_477	-5.332778	-4.392600	-6.164400	4.421726
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=C4CC(=O)NC4=C[C@H]4[C@H](O)N[C@@H]3[C@@H]24)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1576	-7.532472	-6.931900	-8.619800	6.656709
CC1=CC(=CC1=c1ccc2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CCc2n1)F	Molecule_1164	-7.193112	-2.512200	-8.593800	10.188679
COC(=CCCC1=CC(=C2C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@@H](O)CCC(=O)O)CC=C1C)C	Molecule_914	-6.836702	-6.181900	-7.891900	5.397050
O=C(OP(=O)(O)O)[C@@H](OCCO)[C@H](O)[C@H](O)CO[P@](=O)(O)OP(=O)(O)O	Molecule_327	-6.014508	-5.675300	-6.732900	3.716822
C[C@]12CCCC1=C1CCC(=CC=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC1=NC2	Molecule_1158	-7.148510	-6.565200	-8.252600	8.587373
CCNC(=O)[C@@H](OC(=O)CO)[C@H](O)[C@@H](O)CO[P@](=O)(O)OP(=O)(O)O	Molecule_288	-5.742076	-5.416300	-6.552300	3.622133
C#CC=CCc1cccc(C2=C(C(=O)NC(=O)[C@H](O)[C@H](CNC(=O)O)COP(=O)(O)O)CCC2)c1	Molecule_659	-7.514538	-7.188200	-8.346300	4.623542
O=P(O)(O)O[P@@](=O)(O)OC[C@H](O)[C@@H](O)[C@H](O)OCCO	Molecule_112	-5.842458	-5.529000	-6.139300	3.611960
O=C(O)COCCOP(=O)(O)O	Molecule_32	-4.654370	-4.104300	-5.682300	3.469013
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(c3ccc4c(c3)CC=C4)C=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1044	-7.208349	-6.643200	-8.811500	8.121031
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(c3ccc4c(c3)CCC4)C=CC2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1027	-7.103356	-6.487000	-8.109000	8.983670
O=C(O)CC[C@@H](O)C(=O)N1C(=C2CC=C3CC4=C(O)CC5=C4[C@@H]4C(=CC2=C34)CC=C5)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1342	-6.954252	-6.278800	-8.454800	6.969118
O=C(O)COC[C@@H](O[P@](=O)(O)OP(=O)(O)O)[C@@H](CC(=O)NC(=O)O)OP(=O)(O)O	Molecule_448	-7.214818	-6.800200	-7.744200	3.593971
C=C1NC(=O)CC1=C1C=CC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_1173	-7.382200	-6.711300	-8.814700	10.168922
O=C(O)[C@H]1C[C@@H](OP(=O)(O)O)[C@@H](O)[C@H](CO[P@](=O)(O)OP(=O)(O)O)O1	Molecule_298	-6.799131	-6.260700	-7.813300	4.178715
CC(=O)N[C@@H]1CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C2[C@@H]2C[C@@H](CO)CC[C@H]12	Molecule_1504	-6.879938	-6.214500	-8.180400	8.890721
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3ccc(=C4C=CNC4=O)nc3CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1100	-6.800048	-6.091200	-8.618000	7.697986
CC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC#Cc1c(C)ccc2c1CNCC2	Molecule_1324	-7.719282	-7.077800	-8.637900	4.991042
CC(C)C=C1CCC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_953	-7.261116	-6.639700	-8.380700	7.285567
C=C(C)C(=CC(=O)NC(=O)[C@H](O)[C@@H](CNC(=O)O)COP(=O)(O)O)C(=C)C=CC(=O)O	Molecule_553	-6.810776	-6.401100	-7.582300	4.519567
NNCC(=O)O	Molecule_9	-3.404144	-2.678000	-4.129800	8.170519
O=C1CCO[P@@](=O)(O)OC2=CC[C@@H]1O[C@@H](C(=O)O)[C@@H]2OP(=O)(O)O	Molecule_232	-4.119534	-3.219900	-5.240900	7.342479
O=C(C[C@H](OP(=O)(O)O)[C@H](COCCCO)O[P@](=O)(O)OP(=O)(O)O)OCO	Molecule_423	-6.487480	-6.171000	-6.945000	3.494919
CO[C@H]1CO[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)O[C@@H](CO)[C@@H](OCCC(=O)O)CO1	Molecule_466	-4.988910	-4.400700	-5.765600	4.846873
CC=C1C=C(C2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC(=C2)F)CC2=C(O)C(=O)CC[C@@H]12	Molecule_1540	-7.771234	-7.205700	-8.921600	7.513419
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(C3=CCC4=C(C3)C(=O)N=C4)C=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1105	-7.119630	-6.511200	-8.388500	7.236773
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=CC(=C[C@H]3CC2)C(=O)O)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_851	-6.463136	-5.975800	-7.960800	7.730723
NCC[C@H]1N[C@@H]([C@@H](O[P@@](=O)(O)OP(=O)(O)O)[C@H](O)CO)O[C@H](CO)[C@@H]1O	Molecule_345	-5.929244	-5.474900	-6.677700	3.615118
CCCC[C@@H]1C=C2CC(=CC=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC[C@H]12	Molecule_946	-6.482118	-5.971900	-7.391000	5.192880
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C=CC(=c4cc[nH]c4=CCCO)CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1414	-7.080117	-6.436300	-8.454400	9.031583
C=C1NCCC(=C1[C@@H]1C=CC(=CC=C2C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)[C@H](C)C1)C	Molecule_1205	-7.826242	-7.164100	-9.289500	4.613925
O=P(O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](CO)[C@H]1OP(=O)(O)O	Molecule_92	-5.967516	-5.371900	-7.140000	4.507527
O=C(O)[C@@H]1C(=C=C([C@H]2O[C@H]3COCO[C@@H]2C3)C(=C1OP(=O)(O)O)O)O	Molecule_291	-5.617576	-4.930200	-6.641600	4.661636
N=C1CCC(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@@H](O)CCC(=O)O)CC1	Molecule_695	-7.238566	-6.621300	-8.032600	4.588617
O=C(O)CCO／C／1=C／CO[P@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)O[C@@H]1CO	Molecule_267	-5.120050	-4.407400	-6.059400	4.389156
O=C(O)NC(=O)C[C@@H](OP(=O)(O)O)[C@@H](COCC[C@H]1C=Cc2c(ccc3c2OCC3)C1)OP(=O)(O)O	Molecule_693	-7.568018	-7.145200	-8.230600	4.660890
O=C(O)C=CC1=C2CC3=CC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)CC=C3CC2=C(O)C1	Molecule_1354	-6.951600	-3.138400	-8.415300	8.412223
Cc1ccccc1C(=O)N=C1C=CC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2C1	Molecule_1514	-7.069010	-6.599400	-7.901200	6.105490
C=C(CCO)Cc1cc(NC(=O)O)cc(O[C@H]2C[C@@H](O)[C@H](O)[C@H](O[P@](=O)(O)OP(=O)(O)O)[C@H]2O)c1F	Molecule_662	-7.324152	-6.864700	-8.175400	4.911272
CNc1nc(OC(=O)O)cc(O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]2O[P@](=O)(O)OP(=O)(O)O)n1	Molecule_494	-7.161120	-6.613600	-8.149800	4.331008
C[C@H]1O[P@@](=O)(O)O[P@@](=O)(O)O[P@](=O)(O)OC[C@H](O)[C@@H](O)[C@@H]1OCC(=O)O	Molecule_317	-5.151420	-4.382300	-6.248400	3.685158
CC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@@H](O)CCC(=O)O)CC#Cc1c2c(cc3c1CCNC3)CCC=C2	Molecule_1568	-7.422098	-6.822200	-8.626700	5.168816
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3Cc4n[nH]nc4CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_835	-7.134144	-6.435300	-8.814900	6.647917
O=C(O)NC(=O)O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H](O)CO	Molecule_118	-5.955620	-5.425200	-7.149900	3.759157
CCCCCC=CC1=CC(=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@H](O)CCC(=O)O)CCC1	Molecule_825	-6.590756	-5.946200	-7.984700	6.804124
C[C@@H]1C[C@@]2(C=CC1=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O)CC[C@@H]1CC=CC(=C21)F	Molecule_1257	-7.339380	-6.538200	-9.243000	5.867678
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2CCC3=CCCC[C@H]3C2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_814	-7.196430	-6.613100	-8.111300	5.029214
O=C(O)CC[C@H](O)C(=O)N1C(=CC=C2CCC3=C4C=CCC[C@H]4N=C3C2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1065	-7.808472	-7.088600	-8.955900	5.858113
O=P(O)(O)O[P@@](=O)(O)O[C@H]([C@@H](O)CO)[C@@H]1N[C@H](CCO)[C@@H](O)[C@H](CO)O1	Molecule_337	-6.873184	-6.406100	-7.559200	3.300104
O=C(O)CCN(C(=O)COP(=O)(O)O)c1ccccc1	Molecule_116	-6.118404	-5.625500	-7.171500	3.333208
CC(=O)C=CCC=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O	Molecule_663	-6.620856	-5.998400	-7.593100	4.224409
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(c3ccccc3)C=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_779	-6.693520	-6.060600	-8.332800	5.452104
O=C(O)CN=C1O[C@H]([C@@H](O)C(=O)O)[C@@H](O[P@](=O)(O)OP(=O)(O)O)[C@@H]2OCCO[C@@H]12	Molecule_473	-6.896968	-6.341300	-7.991400	4.457608
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=c3ccc(C4=C(F)CCCC4)cc3=CC2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1159	-7.263804	-6.482200	-8.710700	6.829111
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(CO)C=CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_653	-6.725949	-6.232400	-7.472000	4.366055
CC(=O)O[C@@H]1[C@@H](CCCCO)OC(=C(C(=O)O)[C@H]1O)[C@@H](O)OP(=O)(O)O	Molecule_351	-6.082726	-5.508200	-7.018100	4.072546
CC=C1C=C(C2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2)CC2=CC(=O)CC[C@@H]12	Molecule_1388	-7.506380	-6.958300	-8.475600	6.734799
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C=C4C(=CC(=O)CC4=C4CC=CCC4)CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1564	-7.230772	7.116500	-9.499900	9.841259
CCNC(=O)[C@@H](OCCO)[C@H](O)[C@H](O)CO[P@](=O)(O)OP(=O)(O)O	Molecule_231	-5.606024	-5.330900	-6.152200	3.772818
NC(=O)N	Molecule_5	-2.528914	-2.212900	-2.953700	13.192695
O=C(O)C[C@@H](O)C(=O)NC(=O)COP(=O)(O)O	Molecule_51	-6.027844	-5.504800	-7.174600	3.677236
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=CC(=O)CC[C@@H]4C[C@@H](O)CC3=C24)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1482	-6.336256	-5.590800	-7.770300	10.703151
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3ccc(=C4C=CC=C[C@H]4F)nc3CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1168	-7.781078	-7.024800	-9.050900	6.865165
C=C1C=C(c2ccc3=CC(=C4C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@@H](O)CCC(=O)O)CC=c3c2)CCC1	Molecule_1241	-7.561302	-6.893500	-8.946500	6.213195
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C=C4C(=CCCC4=C4C=CC=CC4)CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1490	-7.374892	-6.743800	-9.060100	12.865998
Cc1cc(F)c(F)cc1C#CCC=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O	Molecule_1053	-6.040586	60.622600	-8.259200	6.153523
O=C(O)[C@@H](COP(=O)(O)O)OCCO	Molecule_39	-5.144434	-4.605100	-6.066100	4.428745
CC1=CC(=C2C=CC(=CC2)F)CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C12	Molecule_1274	-7.666472	-6.851500	-8.878700	5.139704
CC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC#CC1=C(C)C[C@H]2CCc3cccc1c23	Molecule_1492	-8.165132	-7.653700	-9.162100	4.442051
CC=Cc1ccc2c(c1C#CCC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@@H](O)CCC(=O)O)C)CCNC2	Molecule_1435	-7.899882	-7.112600	-8.916600	4.415155
O=C(O)NC[C@H](COP(=O)(O)O)[C@H](O)C(=O)NC(=O)C1=C(C2=CCCC(=C2)Cc2ccccc2O)CCC1	Molecule_761	-7.984268	-7.562100	-8.651700	4.701046
O=C(O)CC[C@H](O)C(=O)N1C(=CC=CCC#CC2=CCCC3=C2C=CC3)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1039	-7.638850	-7.165800	-8.315700	5.280162
NC(=O)c1cccc(C2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2)c1	Molecule_983	-7.506860	-6.874800	-8.570300	5.175740
O=C(O)[C@@H]1O[C@H]2O[P@@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)O[C@@H](CO)／C(=C＼[C@H]1[C@@H]2O)／OCCO	Molecule_547	-4.550180	-3.832600	-6.411600	6.658708
CC1=CC(=C2C=C[C@@H](F)C[C@@H]2C)CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C12	Molecule_1424	-6.545046	-6.042400	-7.716000	10.631288
N=C1C=C2CC3=CCC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N4C(=O)[C@@H](O)CCC(=O)O)C=C3C=C2CC1	Molecule_1024	-7.166024	-6.417200	-8.431000	7.961659
CCCCC=C1CCC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_1015	-6.243654	-5.596300	-7.701100	8.615319
C[C@@H]1C[C@]2(C=CC1=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC[C@@H]1CCCC(=C21)F	Molecule_1320	-7.670534	-6.977400	-9.028800	6.288251
CCc1ccc(C)c([C@@H]2C=CC(=CC=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC2)c1	Molecule_1177	-7.196978	-6.584000	-8.390000	6.613338
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=C4CC=N[C@H]4CC4=CC[C@H]3[C@H]24)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1387	-7.024092	-6.238500	-8.994100	8.079019
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=c3ccc(=C4C=C5C=CC=C5CC4)nc3CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1403	-7.363956	-6.769800	-9.223300	7.841038
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3ccc(CC(=O)O)cc3=CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_921	-6.685124	-5.998500	-7.974200	6.436631
O=C(O)N1CCC=C(COP(=O)(O)O)OC1	Molecule_50	-4.429660	-3.699800	-5.285700	4.104580
CON=C1C=C(C2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2)CC2=CC=C(O)C[C@H]12	Molecule_1455	-7.199542	-6.629400	-8.377800	8.045123
Nc1nnnc(N)c1C(=O)N[C@H](C(=O)OP(=O)(O)O)[C@H](O)CCC(=O)O	Molecule_338	-6.307252	-5.818500	-7.085400	3.883644
N#CCC1=CC(=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)CC=C1	Molecule_692	-6.402468	-5.813600	-7.564600	4.922956
NC(=O)C=c1ccc(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)cc1	Molecule_795	-6.732032	-6.203000	-7.953300	5.749795
Cc1ncn([C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O[P@@](=O)(O)OP(=O)(O)O)c(=O)n1	Molecule_278	-6.788844	-6.236400	-7.772000	4.564422
CC1=CC=C(N)C1=C1C=CC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC[C@H]2C1	Molecule_1165	-7.052242	-2.766900	-8.387200	7.824120
N=C(N)CC=C1CC(=N)C=C2CC3=CCC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N4C(=O)[C@H](O)CCC(=O)O)C=C3C=C12	Molecule_1495	-7.438994	-6.686400	-9.017200	6.452556
CC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC#CC1=C2CCNCC2=CC[C@H]1C	Molecule_1338	-7.371708	-6.844600	-8.169300	4.644914
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3ccc(NC(=O)O)cc3=CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_939	-6.978776	-6.349100	-8.205800	6.323015
O=C(O)CCCO[C@H]1CO[C@@H](CO)[C@@H]1O[P@](=O)(O)OP(=O)(O)O	Molecule_197	-6.202018	-5.702600	-7.149200	3.450597
CC(=O)NCc1ccc2c3c1O[P@@](=O)(O)O[C@@H]3OC(=CCCO)N2CCC(=O)O	Molecule_457	-6.733058	-6.086800	-7.692600	5.095753
